qParameter,Classifier,ACC,std_ACC,SE,std_SE,F1,std_F1,AUC,std_AUC,BACC,std_BACC,kappa,std_kappa,gmean,std_gmean
6,GaussianNB,0.993,0.0,0.9909,0.01,0.9954,0.0,1.0,0.0,0.9954,0.0,0.9805,0.01,0.9954,0.0
6,DecisionTree,0.9953,0.0,0.9953,0.01,0.9969,0.0,0.9964,0.01,0.9949,0.01,0.9873,0.01,0.9949,0.01
6,RandomForest,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,LogisticRegression,0.9819,0.01,1.0,0.0,0.9883,0.01,0.9711,0.03,0.9607,0.03,0.9467,0.03,0.9595,0.03
6,SVM,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Bagging,0.9988,0.0,0.9991,0.0,0.9992,0.0,1.0,0.0,0.9984,0.0,0.9971,0.01,0.9984,0.0
6,KNN,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,MLP,0.8818,0.03,1.0,0.0,0.9277,0.02,0.7508,0.04,0.7508,0.04,0.6029,0.08,0.7058,0.06
6,Adaboost,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,Catboost,0.9994,0.0,0.9991,0.0,0.9996,0.0,1.0,0.0,0.9996,0.0,0.9987,0.0,0.9996,0.0
6,GradientBoosting,0.926,0.05,0.9976,0.01,0.9549,0.03,0.6689,0.23,0.8333,0.11,0.737,0.18,0.805,0.14
